Category,Product
Fibroblasts,Fibroblast Basal Medium
Fibroblasts,Fibroblast Growth Kit-Serum-free
Fibroblasts,Fibroblast Growth Kit-Low serum
Fibroblasts,Trypsin-EDTA for Primary Cells
Fibroblasts,Trypsin Neutralizing Solution
Fibroblasts,Penicillin-Streptomycin-Amphotericin B Solution
Fibroblasts,Phenol Red
Primary Epidermal Kerotinocytes,Dermal Cell Basal Medium
Primary Epidermal Kerotinocytes,Keratinocyte Growth Kit
Primary Epidermal Kerotinocytes,Dulbecco’s PBS (D-PBS) 1X
Primary Epidermal Kerotinocytes,Trypsin-EDTA for Primary Cells
Primary Epidermal Kerotinocytes,Trypsin Neutralizing Solution
Primary Epidermal Kerotinocytes,Penicillin-Streptomycin-Amphotericin B Solution
Primary Epidermal Kerotinocytes,Phenol Red
DMEM,
Flasks,
